DS_ID,DATASOURCE,UNIPROT_ID,GENE_SYMBOL,GENE_NAME,GENE_SYNONYMS,BIOMOLECULE_TYPE
,UniProtKB,Q5VYD6,HAX1,HCLS1-associated protein X-1,HAX1,protein
,UniProtKB,Q5VYH9,LY9,Ig-like domain-containing protein,LY9,protein
,UniProtKB,Q5VYI1,LY9,Ig-like domain-containing protein,LY9,protein
,UniProtKB,Q5VYS9,TUT7,RNA uridylyltransferase,TUT7,protein
,UniProtKB,Q5VYT0,TUT7,RNA uridylyltransferase,TUT7,protein
,UniProtKB,Q5VYW8,RCL1,RNA 3'-terminal phosphate cyclase domain-containing protein,RCL1,protein
,UniProtKB,Q5VZ73,CCL21,Chemokine interleukin-8-like domain-containing protein,CCL21,protein
,UniProtKB,Q5VZ75,CCL19,C-C motif chemokine,CCL19,protein
,UniProtKB,Q5VZ88,GADD45G,Ribosomal protein L7Ae/L30e/S12e/Gadd45 domain-containing protein,GADD45G,protein
,UniProtKB,Q5VZB4,SRGAP2,SLIT-ROBO Rho GTPase activating protein 2,SRGAP2|RP11-421E17.2-002,protein
,UniProtKB,Q5VZC3,FBP1,fructose-bisphosphatase,FBP1,protein
,UniProtKB,Q5VZD9,SLC25A15,Solute carrier family 25 member 15,SLC25A15,protein
,UniProtKB,Q5VZE7,SPINK4,Kazal-like domain-containing protein,SPINK4,protein
,UniProtKB,Q5VZJ2,SLC35D2,Sugar phosphate transporter domain-containing protein,SLC35D2,protein
,UniProtKB,Q5VZM0,RRAGB,Ras-related GTP-binding protein,RRAGB,protein
,UniProtKB,Q5VZN3,ZNF483,SCAN box domain-containing protein,ZNF483,protein
,UniProtKB,Q5VZR0,GLIPR2,SCP domain-containing protein,GLIPR2,protein
